paper_id,title,signal_type,asset_class,num_performance_metrics,sample_metric,extraction_confidence,num_validation_flags,validation_flags
arxiv:2305.06961v2,Copula-Based Trading of Cointegrated Cryptocurrency Pairs,stat_arb_pairs,crypto,40,Annualized Sharpe Ratio=0.97ratio,high,0,
arxiv:2306.15807v4,"Liquidity Premium, Liquidity-Adjusted Return and Volatility, and Extreme Liquidity",liquidity;ml_composite,crypto,16,Sharpe ratio=1.52ratio,high,0,
arxiv:2309.00875v3,A hidden Markov model for statistical arbitrage in international crude oil futures markets,reversal;stat_arb_pairs;other,commodities;futures_multi_asset,10,Sharpe ratio=1.1792ratio,high,0,
arxiv:2401.00001v1,Sector Rotation by Factor Model and Fundamental Analysis,momentum;reversal;value;ml_composite,equities,10,Sharpe ratio=0.62ratio,high,0,
arxiv:2401.14761v1,ESG driven pairs algorithm for sustainable trading: Analysis from the Indian market,reversal;alternative_data;stat_arb_pairs,equities,11,Sharpe ratio=0.5716ratio,high,0,
arxiv:2402.10481v2,Emoji Driven Crypto Assets Market Reactions,sentiment_text;alternative_data,crypto,7,Adj_R2=0.043ratio,high,0,
arxiv:2403.00785v1,Applying News and Media Sentiment Analysis for Generating Forex Trading Signals,sentiment_text,fx,9,profit=12.0percent,high,0,
arxiv:2405.12768v1,Ponzi Funds,other,equities,11,t-statistic=7.5979ratio,high,0,
arxiv:2405.20715v1,Transforming Japan Real Estate,momentum;reversal;alternative_data,equities;other,7,Sharpe ratio=1.5ratio,high,0,
arxiv:2407.09546v2,A Reflective LLM-based Agent to Guide Zero-shot Cryptocurrency Trading,momentum;sentiment_text;alternative_data;ml_composite;other,crypto,24,Sharpe Ratio=0.25ratio,high,0,
arxiv:2407.16103v2,Reinforcement Learning Pair Trading: A Dynamic Scaling approach,reversal;ml_composite,crypto,6,Sharpe Ratio=25.91ratio,high,3,metric_out_of_range:'Sharpe Ratio'=25.91ratio;metric_out_of_range:'Sharpe Ratio'=32.74ratio;metric_out_of_range:'Sharpe Ratio'=94.34ratio
arxiv:2407.21791v1,Deep Learning for Options Trading: An End-To-End Approach,momentum;reversal;ml_composite,options_volatility;equities,4,Sharpe ratio=1.258ratio,high,0,
arxiv:2501.01763v1,"Quantifying A Firm's AI Engagement: Constructing Objective, Data-Driven, AI Stock Indices Using 10-K Filings",alternative_data;sentiment_text,equities,10,Sharpe Ratio=0.038ratio,high,0,
arxiv:2501.03269v1,Evaluating the resilience of ESG investments in European Markets during turmoil periods,other,equities,12,mean return=0.0166percent,high,0,
arxiv:2501.07135v1,Follow the Leader: Enhancing Systematic Trend-Following Using Network Momentum,momentum;other,commodities;futures_multi_asset,7,Sharpe ratio=0.277ratio,high,0,
arxiv:2504.03311v1,Information Leakages in the Green Bond Market,event_driven;alternative_data;sentiment_text,fixed_income;equities,14,CAR=-0.21percent,high,0,
arxiv:2504.06208v3,Deep Hedging with Options Using the Implied Volatility Surface,volatility_risk_premium;ml_composite,equities;options_volatility,3,MSE=0.094ratio,high,0,
arxiv:2506.11921v1,Dynamic Grid Trading Strategy: From Zero Expectation to Market Outperformance,reversal;other,crypto,3,annualized return=60.0percent,high,0,
arxiv:2508.16378v2,Sentiment-Aware Mean-Variance Portfolio Optimization for Cryptocurrencies,momentum;sentiment_text;other,crypto,18,Sharpe Ratio=0.7102ratio,high,0,
arxiv:2508.16598v1,"Sizing the Risk: Kelly, VIX, and Hybrid Approaches in Put-Writing on Index Options",reversal;volatility_risk_premium,options_volatility;equities,10,Information Ratio=1.9ratio,high,0,
arxiv:2508.18679v2,Identifying Risk Variables From Raw ESG Data Using Its Hierarchical Structure,other,equities,9,R-squared=0.39ratio,high,0,
arxiv:2509.04452v1,Directional Price Forecasting in the Continuous Intraday Market under Consideration of Neighboring Products and Limit Order Books,momentum;alternative_data,commodities,6,accuracy=51.73percent,high,0,
arxiv:2509.12753v1,DeltaHedge: A Multi-Agent Framework for Portfolio Options Optimization,momentum;volatility_risk_premium;sentiment_text;ml_composite;other,equities;options_volatility,13,Sharpe ratio=1.33ratio,high,0,
arxiv:2510.21297v1,Jump risk premia in the presence of clustered jumps,reversal;volatility_risk_premium;other,crypto;futures_multi_asset;options_volatility,3,adjusted R2=0.1467ratio,high,0,
arxiv:2511.00665v1,Technical Analysis Meets Machine Learning: Bitcoin Evidence,momentum;ml_composite;other,crypto,12,cumulative return=65.23percent,high,0,
arxiv:2511.12490v1,Discovery of a 13-Sharpe OOS Factor: Drift Regimes Unlock Hidden Cross-Sectional Predictability,value;reversal;other,equities,13,Sharpe Ratio=13.19ratio,high,1,metric_out_of_range:'Sharpe Ratio'=22.87ratio
arxiv:2512.00280v2,Retail Investor Horizon and Earnings Announcements,sentiment_text;alternative_data,equities,5,alpha=0.3ratio,high,0,
arxiv:2602.17890v1,The Information Dynamics of Insider Intent: How Reporting Inversions (Form 144) Mask Informational Rents in Insider Sales (Form 4),momentum;reversal;event_driven;ml_composite,equities,10,t-statistic=553.93ratio,high,0,
arxiv:2603.29751v1,Common Risk Factors in Decentralized AI Subnets,size;momentum;reversal;liquidity,crypto;other,7,Sharpe ratio=3.84ratio,high,0,
arxiv:2603.29763v1,Option Pricing on Automated Market Maker Tokens,other,crypto,4,R-squared=0.003ratio,high,0,
arxiv:2605.01300v1,Visibility graphs can make money in financial markets,momentum;reversal;other,equities;fx;commodities,9,Sharpe ratio=3.6ratio,high,0,
arxiv:2605.04479v1,ESG as Priced Crash Insurance: State-Dependent Tail Risk and Deconfounding Evidence,quality_profitability;alternative_data,equities,12,t-statistic=-3.44ratio,high,0,
arxiv:2605.30672v1,Residual Supply and the Price of Risk Absorption,reversal;liquidity;other,equities,12,t-statistic=30.24ratio,high,0,
arxiv:2606.05631v1,Stress Amplified Resilience: ESG and Joint Fragility in Equity Markets,quality_profitability;alternative_data;other,equities,2,probability reduction=-0.0028ratio,high,0,
arxiv:2607.08346v1,Grounded Event Extraction from SEC 8-K Filings with a Fine-Grained Taxonomy,event_driven,equities,10,Precision=0.123ratio,high,0,
arxiv:2608.00761v1,AI and Exchange Rate Predictability,sentiment_text;alternative_data;ml_composite,fx,12,Sharpe ratio=0.7ratio,high,0,
arxiv:2608.04929v1,Open Information: A Defining Perspective on Web Datasets for Carbon Pricing,alternative_data;sentiment_text,commodities,18,Pearson's Correlation=0.68ratio,high,0,
arxiv:2609.01183v1,Harvesting the Variance Risk Premium in Nuclear and Energy Equities: A Short-Put Portfolio Derisking Strategy,volatility_risk_premium,equities;options_volatility,8,Sharpe ratio=7.81ratio,high,0,
arxiv:physics/0702027v1,A two-Factor Asset Pricing Model and the Fat Tail Distribution of Firm Sizes,size;value;other,equities,20,R-squared=78.0percent,high,0,
